,0
num__ppi_index_lag2,0.07839345116765861
num__ppi_mom_growth_mean12,0.06349296626486549
num__ppi_mom_growth_yoy,0.052193097435375126
num__yoy_change_perc_lag1,0.03769136951576679
num__cpi_index_mean12,0.03459179998177808
num__ppi_mom_growth_lag2,0.03211728623087982
num__avg_annual_unemployment_rate_mean8,0.027566894139783974
num__industrial_production_index_std4,0.025320992189210464
num__unemployment_rate_mean8,0.022683104987815752
num__cpi_index_lag4,0.022553600094067764
num__unemployment_rate_std8,0.02174291038643991
num__deflators_of_gross_domestic_product_by_final_use_categories_std4,0.019507919063200523
num__ppi_index_lag1,0.019181471155856666
num__industrial_production_index_lag6,0.018739579870957247
num__cpi_index_mean8,0.017768821726279783
num__ppi_yoy_growth_yoy,0.015360817545454528
num__ppi_mom_growth_mean8,0.013864143335425514
num__inflation_index,0.013643261016912303
num__nominal_gdp_index_lag8,0.01362211903559943
num__cpi_index_lag3,0.012529536732402759
num__total_gdp_deflator_mean12,0.01145380854036644
num__deflators_of_gross_domestic_product_by_final_use_categories_lag1,0.011205086729887924
num__ppi_yoy_growth_mean8,0.010992943297533978
num__total_gdp_deflator_lag4,0.010923561148835224
num__avg_annual_unemployment_rate_std4,0.010711216045710455
num__inflation_index_yoy,0.010664819516708396
num__ppi_yoy_growth_mean12,0.010604705719172602
num__yoy_change_perc_lag2,0.010442322467370405
num__deflators_of_gross_domestic_product_by_final_use_categories_mean8,0.009506365666972194
num__real_gdp_index_sa_qoq,0.009227188214694442
num__industrial_production_index_lag1,0.00913404419687103
num__deflators_of_gross_domestic_product_by_final_use_categories_std8,0.008720359640688347
num__unemployment_rate_lag2,0.008642576159486248
num__core_inflation_index_lag2,0.008277701204860889
num__yoy_change_perc_lag3,0.007370111418690352
num__inflation_index_lag4,0.00733638259881557
num__cpi_index_lag6,0.007157903021627495
num__unemployment_rate_lag4,0.006413652940501061
num__ppi_index_mean4,0.006152197801509725
num__ppi_mom_growth_lag4,0.005723508853450564
num__core_inflation_index,0.00530899218866092
num__unemployment_rate_lag1,0.005135621582906146
num__ppi_index_std8,0.005087342891966286
num__cpi_index_std4,0.005028242824751257
num__deflators_of_gross_domestic_product_by_final_use_categories_std12,0.004976801292621557
num__real_gdp_index_sa_std12,0.004673019674312455
num__ppi_index_lag8,0.004645086668021935
num__industrial_production_index_mean8,0.004425287064210988
num__year_qoq,0.004382027894366991
num__yoy_change_perc_mean12,0.004357031069597499
num__core_inflation_index_std12,0.004151325075691035
num__yoy_change_perc_yoy,0.0041095535342552504
num__avg_annual_unemployment_rate_mean4,0.004078604912582621
num__yoy_change_perc_lag8,0.004074679545724904
num__yoy_change_perc_lag4,0.0033790392685986506
num__inflation_index_seasonally_adjusted_std8,0.003293104250926612
num__nominal_gdp_index_std8,0.003258548685678425
num__core_inflation_index_lag8,0.0032454328432771355
num__core_inflation_index_yoy,0.0030625559836170327
num__ppi_yoy_growth,0.003004314331634118
num__inflation_index_qoq,0.003003189196411925
num__sin_q_mean12,0.002962997366101717
num__yoy_change_perc_std4,0.0029501535292387267
num__inflation_index_lag2,0.002944151656681626
num__unemployment_rate_mean4,0.002924622326568059
num__unemployment_rate_lag3,0.002920378835679864
num__quarter_mean12,0.002840535560618653
num__core_inflation_index_lag1,0.0027852049736868455
num__inflation_index_lag6,0.0026767317118623836
num__core_inflation_index_mean12,0.0026727120071754983
num__ppi_mom_growth_std8,0.0025788049060207984
num__ppi_yoy_growth_qoq,0.002546776381217524
num__real_gdp_index_sa_lag6,0.002536456241684859
num__total_gdp_deflator_lag2,0.0025188245602947154
num__nominal_gdp_index,0.0025152929718998494
num__core_inflation_index_std8,0.0025147172278777693
num__ppi_yoy_growth_lag4,0.0025044616892522546
num__total_gdp_deflator_lag6,0.00240579112458329
num__unemployment_rate_lag8,0.0023994896227771617
num__real_gdp_index_sa_std8,0.0023444538884854777
num__inflation_index_seasonally_adjusted_lag6,0.0023065818765287517
num__ppi_yoy_growth_std8,0.002296269468412813
num__ppi_yoy_growth_std12,0.0021524178094051135
num__total_gdp_deflator_qoq,0.0021467795768558722
num__ppi_yoy_growth_lag8,0.002107733979036508
num__industrial_production_index_lag2,0.0020866412905656243
num__ppi_mom_growth_lag1,0.002085835017506301
num__inflation_index_lag1,0.0020464371636855342
num__ppi_yoy_growth_mean4,0.00200924718393451
num__industrial_production_index_lag4,0.0019526154459214703
num__real_gdp_index_sa_lag1,0.001947235313016852
num__ppi_mom_growth_lag3,0.001925100605896691
num__avg_annual_unemployment_rate_lag1,0.001881426514450929
num__real_gdp_index_mean8,0.0018792995647098029
num__total_gdp_deflator_yoy,0.0018773906182813953
num__core_inflation_index_std4,0.001865001992399354
num__ppi_yoy_growth_lag1,0.001834285906413026
num__real_gdp_index_qoq,0.0017541674887999355
num__deflators_of_gross_domestic_product_by_final_use_categories_lag2,0.0016531765013752078
num__ppi_index_std12,0.0016059886904101956
num__core_inflation_index_lag3,0.0015914315439195625
num__cos_q_lag8,0.001523478206727713
num__ppi_yoy_growth_std4,0.0014200840593245286
num__ppi_index_lag4,0.001395163258563169
num__yoy_change_perc_mean8,0.0013514322984418375
num__avg_annual_unemployment_rate_lag2,0.001331509339039668
num__ppi_mom_growth_std4,0.001323829006195811
num__inflation_index_std12,0.0012920994097637248
num__core_inflation_index_qoq,0.001264953264283202
num__quarter,0.001263313566226179
num__industrial_production_index_std12,0.0012258727366195438
num__year_yoy,0.0012066978487803354
num__avg_annual_unemployment_rate_std12,0.0011780053259787576
num__ppi_index_std4,0.0011638040598443628
num__unemployment_rate_qoq,0.001154504611153566
num__deflators_of_gross_domestic_product_by_final_use_categories_lag6,0.0011471921586813291
num__unemployment_rate_std12,0.0011407724274774221
num__industrial_production_index_qoq,0.001102223164998185
num__ppi_mom_growth_mean4,0.001079720974734621
num__ppi_mom_growth_lag8,0.0010600062247264363
num__real_gdp_index_mean12,0.001059673236593145
num__deflators_of_gross_domestic_product_by_final_use_categories_lag8,0.001053471149093862
num__yoy_change_perc_qoq,0.0010435814520183447
num__inflation_index_lag3,0.0009744118175286158
num__inflation_index_lag8,0.0009646002851882377
