,0
num__yoy_change_perc_lag1,0.11860795688129103
num__ppi_index_lag2,0.08348763580809046
num__deflators_of_gross_domestic_product_by_final_use_categories_std4,0.052746800545232904
num__industrial_production_index_std4,0.0472163317479173
num__inflation_index,0.044701612157557885
num__unemployment_rate_mean8,0.03992565637375725
num__ppi_mom_growth_yoy,0.03864277132928562
num__ppi_index_mean4,0.03722950998756591
num__core_inflation_index,0.025924120608415306
num__total_gdp_deflator_lag4,0.02585176207748042
num__cpi_index_lag4,0.023988527194519427
num__ppi_yoy_growth_mean8,0.02205680761605504
num__inflation_index_lag2,0.017829144195764837
num__ppi_mom_growth_lag2,0.017688960654005947
num__deflators_of_gross_domestic_product_by_final_use_categories_mean8,0.017432875999999813
num__cpi_index_mean8,0.017318417750347162
num__avg_annual_unemployment_rate_mean8,0.016502955386176816
num__nominal_gdp_index_yoy,0.011399754380154883
num__inflation_index_yoy,0.011045794102079664
num__inflation_index_seasonally_adjusted_std4,0.010817049700744874
num__ppi_mom_growth_mean8,0.010587816716081317
num__ppi_yoy_growth,0.00995794973217137
num__core_inflation_index_lag1,0.009805865417707362
num__real_gdp_index_sa_std8,0.009541697305063096
num__inflation_index_seasonally_adjusted_lag4,0.00915626159107524
num__core_inflation_index_yoy,0.008855061081341719
num__core_inflation_index_lag2,0.008628233821309157
num__yoy_change_perc_yoy,0.008488217756441414
num__yoy_change_perc_mean4,0.00779447820061185
num__year_yoy,0.007581287050722315
num__quarter_mean8,0.007520997572075448
num__nominal_gdp_index_std4,0.007366378370407466
num__unemployment_rate_lag4,0.006854473811033424
num__ppi_inf_qoq_inter,0.006821338729004963
num__real_gdp_index_sa_lag1,0.006508276558397869
num__cpi_index_mean4,0.006447568311133869
num__inflation_index_seasonally_adjusted,0.006155072670699133
num__avg_annual_unemployment_rate_lag4,0.0057152417208872226
num__ppi_mom_growth_lag1,0.005454881405239512
num__avg_annual_unemployment_rate_std4,0.005256574743685953
num__industrial_production_index_lag4,0.005153089291232815
num__real_gdp_index_qoq,0.004883303421440719
num__ppi_mom_growth_qoq,0.004384455930001423
num__yoy_change_perc,0.004308862067508394
num__real_gdp_index_std4,0.0040657756618221
num__deflators_of_gross_domestic_product_by_final_use_categories_lag2,0.003775665386358854
num__unemployment_rate_lag1,0.0037737157335429802
num__deflators_of_gross_domestic_product_by_final_use_categories_lag1,0.003373646166646292
num__ppi_mom_growth_lag4,0.003360052624028427
num__cpi_index_std4,0.0033466014198770197
num__ppi_mom_growth_std4,0.0032987018462906853
num__inflation_index_seasonally_adjusted_std8,0.0032568456012799845
num__ppi_yoy_growth_std4,0.003150345946967143
num__avg_annual_unemployment_rate_mean4,0.003137790887679211
num__yoy_change_perc_lag4,0.0031197347171322714
num__industrial_production_index_lag1,0.0029938596312314796
num__ppi_index_std8,0.002928800350234174
num__ppi_index_lag4,0.0029216522934107218
num__industrial_production_index_qoq,0.0026974664897079603
num__real_gdp_index_lag2,0.002696519444864564
num__inflation_index_lag1,0.002665162740349538
num__real_gdp_index_sa_std4,0.0026138439225823124
num__unemployment_rate_mean4,0.002549346016067059
num__ppi_yoy_growth_mean4,0.0024741099862743434
num__total_gdp_deflator_mean8,0.0024541095125554723
num__year_qoq,0.0023841669457454278
num__ppi_index_lag1,0.0023532555149478273
num__ppi_yoy_growth_lag4,0.0023353924732425362
num__nominal_gdp_index_qoq,0.002224098739370719
num__real_gdp_index_sa_yoy,0.002163177196592994
num__ppi_index,0.002154180492826274
num__industrial_production_index_mean8,0.002137642180944723
num__total_gdp_deflator,0.002087311600096823
num__core_inflation_index_qoq,0.0020790487143289137
num__unemployment_rate_qoq,0.0019852975505929224
num__core_inflation_index_std4,0.001977718663051001
num__ppi_yoy_growth_yoy,0.001945640105922936
num__cpi_index_std8,0.0019398169335150372
num__total_gdp_deflator_lag2,0.0019203794321675548
num__cpi_index_qoq,0.0016683828737225083
num__total_gdp_deflator_lag1,0.0016581910075001813
num__inflation_index_seasonally_adjusted_mean8,0.0016312470754170291
num__industrial_production_index_mean4,0.0015410424340568968
num__deflators_of_gross_domestic_product_by_final_use_categories_lag4,0.0015111683997117286
num__year_lag1,0.0014567787229727237
num__nominal_gdp_index_std8,0.0014395161831424607
num__industrial_production_index_yoy,0.0014372292319549578
num__total_gdp_deflator_qoq,0.0014361473598906748
num__inflation_index_qoq,0.0014141915530495501
num__real_gdp_index_mean8,0.0014000226383583951
num__nominal_gdp_index_mean8,0.0012860479656617806
num__nominal_gdp_index,0.001258521261103047
num__inflation_index_mean4,0.0012540426711875484
num__real_gdp_index_lag1,0.0011972016845073624
num__deflators_of_gross_domestic_product_by_final_use_categories_yoy,0.0011717271184219467
num__avg_annual_unemployment_rate_std8,0.0011198593109149723
num__yoy_change_perc_lag2,0.0010583422594321924
num__ppi_index_qoq,0.0010389594105263433
num__unemployment_rate_std8,0.0010240750941493612
num__unemployment_rate_yoy,0.0009965463946467964
num__avg_annual_unemployment_rate,0.000947093085586144
num__ppi_mom_growth_mean4,0.0007706503405356934
num__cos_q_lag4,0.0007599246200969045
num__inflation_index_lag4,0.0007580927161920751
num__sin_q_lag2,0.0007573106984572589
num__ppi_yoy_growth_qoq,0.0007519693694892044
num__real_gdp_index_std8,0.0007438280921242439
num__quarter,0.000729243064883642
num__industrial_production_index,0.0007182372193750852
num__unemployment_rate,0.0006950355706412776
num__avg_annual_unemployment_rate_lag1,0.0006694159121416381
num__sin_q_mean8,0.0006682242745591641
num__year,0.0006623497660691936
num__nominal_gdp_index_lag1,0.0006597835723926839
num__year_mean4,0.0006350666684079697
num__sin_q,0.0006219181198272159
num__nominal_gdp_index_lag2,0.0006143980194147235
num__industrial_production_index_lag2,0.0005626393834512694
num__ppi_index_std4,0.0005263212818159018
num__total_gdp_deflator_yoy,0.0004914328173522112
num__yoy_change_perc_mean8,0.0004201158262670808
num__deflators_of_gross_domestic_product_by_final_use_categories_std8,0.000401058887035716
num__unemployment_rate_lag2,0.00039206444966808534
num__deflators_of_gross_domestic_product_by_final_use_categories,0.00036950494847007694
num__ppi_mom_growth,0.00035652766318406505
num__cos_q_lag1,0.0003334017950525618
num__core_inflation_index_std8,0.000316684117793313
num__ppi_index_mean8,0.00031272227889034683
num__total_gdp_deflator_std4,0.00028808503699752114
num__sin_q_lag4,0.0002704626203256116
num__real_gdp_index_sa_mean4,0.0002670691414486431
num__real_gdp_index_sa_mean8,0.00026453161161785893
num__ppi_index_yoy,0.0002640961567642703
num__real_gdp_index_sa_qoq,0.0002629059408131234
num__core_inflation_index_lag4,0.00024419695976006273
num__year_mean8,0.00024016127405194958
num__inflation_index_mean8,0.00023808118246386562
num__cpi_index_yoy,0.0002302029123246046
num__real_gdp_index,0.0002164852351609893
num__deflators_of_gross_domestic_product_by_final_use_categories_mean4,0.00021393041757667488
num__inflation_index_std8,0.00021331150661525018
num__unemployment_rate_std4,0.00021195641483530623
num__real_gdp_index_lag4,0.00020617435244544614
num__cpi_index,0.00020268428117729487
num__nominal_gdp_index_mean4,0.00020058440799708663
num__year_lag4,0.00019879965222119423
num__deflators_of_gross_domestic_product_by_final_use_categories_qoq,0.00019842300369346053
num__avg_annual_unemployment_rate_yoy,0.00018321592062644135
num__inflation_index_seasonally_adjusted_lag2,0.00018292795348422226
num__real_gdp_index_sa_lag4,0.00018251416228661773
num__real_gdp_index_sa_lag2,0.0001783894650549072
num__ppi_yoy_growth_lag2,0.0001746808257452047
num__avg_annual_unemployment_rate_lag2,0.0001739971140141797
num__inflation_index_std4,0.00015580715671470197
num__quarter_lag2,0.0001455997239411767
num__total_gdp_deflator_mean4,0.00011693546516630483
num__cpi_index_lag2,9.653711467095562e-05
num__core_inflation_index_mean8,9.061476046087447e-05
num__core_inflation_index_mean4,9.005892036876731e-05
num__yoy_change_perc_std8,8.919018923039118e-05
num__sin_q_lag1,8.71085403622692e-05
num__cos_q_lag2,7.802329977834163e-05
num__ppi_mom_growth_std8,7.36894909854811e-05
num__real_gdp_index_sa,7.333051464700016e-05
num__nominal_gdp_index_lag4,7.327552928839818e-05
num__quarter_std8,7.109249475954658e-05
