,0
num__cpi_index_lag2,10.11314582824707
num__total_gdp_deflator_lag2,4.6412224769592285
num__cpi_index_qoq,2.9621646404266357
num__avg_annual_unemployment_rate_mean4,2.741013526916504
num__industrial_production_index_std4,2.6924331188201904
num__avg_annual_unemployment_rate_lag1,2.6565866470336914
num__cpi_index_mean4,2.5900275707244873
num__core_inflation_index,2.269782066345215
num__deflators_of_gross_domestic_product_by_final_use_categories_std4,1.9590961933135986
num__total_gdp_deflator_lag4,1.7420194149017334
num__deflators_of_gross_domestic_product_by_final_use_categories_std8,1.3079938888549805
num__unemployment_rate_mean8,1.1726012229919434
num__avg_annual_unemployment_rate_mean8,1.1618785858154297
num__ppi_index_mean4,1.035139799118042
num__core_inflation_index_lag1,1.0048515796661377
num__nominal_gdp_index_qoq,0.9953834414482117
num__unemployment_rate_lag4,0.9899303317070007
num__ppi_yoy_growth_std4,0.985119104385376
num__ppi_index_lag2,0.8469085097312927
num__ppi_yoy_growth_mean4,0.8293167948722839
num__ppi_mom_growth,0.8257964253425598
num__core_inflation_index_yoy,0.7991126775741577
num__ppi_mom_growth_lag2,0.7698774933815002
num__ppi_mom_growth_yoy,0.7044835090637207
num__inflation_index_seasonally_adjusted_lag2,0.6820486783981323
num__sin_q_mean8,0.6504276990890503
num__inflation_index_lag4,0.6052076816558838
num__real_gdp_index_sa_std8,0.5847330689430237
num__avg_annual_unemployment_rate_std4,0.5409045219421387
num__ppi_yoy_growth,0.5355263948440552
num__inflation_index_seasonally_adjusted_mean8,0.5231069922447205
num__yoy_change_perc_lag1,0.5133043527603149
num__avg_annual_unemployment_rate,0.4462338984012604
num__deflators_of_gross_domestic_product_by_final_use_categories_mean8,0.4291939437389374
num__inflation_index_seasonally_adjusted_lag4,0.42716044187545776
num__cos_q_lag1,0.41680431365966797
num__core_inflation_index_std8,0.3786674737930298
num__unemployment_rate,0.37092122435569763
num__deflators_of_gross_domestic_product_by_final_use_categories_lag1,0.35801780223846436
num__avg_annual_unemployment_rate_lag2,0.357852965593338
num__ppi_mom_growth_lag4,0.3415650427341461
num__total_gdp_deflator_lag1,0.33856523036956787
num__ppi_yoy_growth_lag1,0.31893157958984375
num__yoy_change_perc_mean4,0.31134486198425293
num__total_gdp_deflator_mean8,0.31085580587387085
num__ppi_yoy_growth_lag4,0.30181214213371277
num__real_gdp_index_std8,0.3017057776451111
num__core_inflation_index_std4,0.29342228174209595
num__real_gdp_index_sa_qoq,0.29186221957206726
num__cpi_index_lag1,0.25338298082351685
num__ppi_yoy_growth_yoy,0.24514278769493103
num__ppi_yoy_growth_std8,0.24216489493846893
num__inflation_index_lag2,0.24171097576618195
num__ppi_mom_growth_mean4,0.23116260766983032
num__avg_annual_unemployment_rate_yoy,0.2297094613313675
num__real_gdp_index_qoq,0.21179723739624023
num__ppi_mom_growth_std8,0.2114243358373642
num__industrial_production_index_lag1,0.19823463261127472
num__yoy_change_perc_std4,0.1835516393184662
num__cpi_index,0.17864754796028137
num__core_inflation_index_lag2,0.17749424278736115
num__inflation_index_lag1,0.17634151875972748
num__inflation_index_seasonally_adjusted_mean4,0.16956821084022522
num__total_gdp_deflator_std4,0.16094674170017242
num__inflation_index_qoq,0.15568752586841583
