,0
num__total_gdp_deflator_lag4,12.767314910888672
num__total_gdp_deflator_lag3,7.460602283477783
num__core_inflation_index_lag6,7.246587753295898
num__cpi_index_lag2,6.0314507484436035
num__avg_annual_unemployment_rate_lag3,5.3253936767578125
num__core_inflation_index,4.779465198516846
num__cpi_index_lag3,4.672445297241211
num__ppi_yoy_growth_mean8,4.310831069946289
num__ppi_yoy_growth_lag1,3.2435128688812256
num__cpi_index_qoq,3.0273208618164062
num__ppi_index_lag2,2.1713671684265137
num__deflators_of_gross_domestic_product_by_final_use_categories_std8,2.158018112182617
num__ppi_yoy_growth_mean12,1.9885311126708984
num__cpi_index_lag6,1.794061541557312
num__total_gdp_deflator_lag2,1.7756013870239258
num__ppi_mom_growth_lag3,1.6728057861328125
num__industrial_production_index_lag1,1.6428110599517822
num__yoy_change_perc_mean8,1.5542041063308716
num__ppi_mom_growth_lag2,1.5445877313613892
num__nominal_gdp_index_lag6,1.4719531536102295
num__sin_q_mean12,1.4690260887145996
num__cpi_index_std12,1.4598010778427124
num__deflators_of_gross_domestic_product_by_final_use_categories_std4,1.3972426652908325
num__yoy_change_perc_lag1,1.386609435081482
num__unemployment_rate_lag4,1.3341941833496094
num__ppi_index_std8,1.2391575574874878
num__core_inflation_index_lag1,1.1975167989730835
num__ppi_index_mean12,1.1805658340454102
num__inflation_index_qoq,1.1482411623001099
num__unemployment_rate_mean12,1.1242601871490479
num__ppi_yoy_growth_std12,1.1225521564483643
num__ppi_yoy_growth_yoy,1.0854161977767944
num__inflation_index_seasonally_adjusted_mean8,1.0452580451965332
num__quarter_mean12,1.0244460105895996
num__industrial_production_index_std4,0.9493018984794617
num__sin_q,0.9288549423217773
num__yoy_change_perc_yoy,0.8490310907363892
num__deflators_of_gross_domestic_product_by_final_use_categories_lag1,0.843238353729248
num__ppi_mom_growth_yoy,0.8410778641700745
num__ppi_yoy_growth,0.7989287972450256
num__inflation_index_lag1,0.7529742121696472
num__real_gdp_index_sa_lag3,0.7427033185958862
num__yoy_change_perc_lag4,0.7275378108024597
num__industrial_production_index_lag4,0.6843245029449463
num__inflation_index_seasonally_adjusted_std4,0.6827824711799622
num__avg_annual_unemployment_rate_std4,0.6701581478118896
num__yoy_change_perc_mean12,0.6452640891075134
num__unemployment_rate_lag8,0.6245913505554199
num__avg_annual_unemployment_rate_std8,0.6176067590713501
num__ppi_mom_growth_mean4,0.6015015244483948
num__ppi_index_std12,0.5994598865509033
num__real_gdp_index_sa_qoq,0.5992189645767212
num__inflation_index_seasonally_adjusted_lag6,0.5981288552284241
num__deflators_of_gross_domestic_product_by_final_use_categories_std12,0.5870948433876038
num__unemployment_rate_std8,0.564696729183197
num__ppi_yoy_growth_lag8,0.5565961003303528
num__inflation_index_lag2,0.5426276922225952
num__deflators_of_gross_domestic_product_by_final_use_categories_lag6,0.5353373885154724
num__deflators_of_gross_domestic_product_by_final_use_categories_mean8,0.5299458503723145
num__unemployment_rate_lag2,0.5131353735923767
num__ppi_yoy_growth_mean4,0.5088437795639038
num__nominal_gdp_index_lag8,0.48390111327171326
num__ppi_mom_growth_lag4,0.48316365480422974
num__ppi_mom_growth_mean8,0.46881988644599915
num__total_gdp_deflator_lag8,0.42814841866493225
num__core_inflation_index_lag2,0.41320323944091797
num__unemployment_rate_lag1,0.39200276136398315
num__cpi_index_std4,0.36962613463401794
num__ppi_index_lag4,0.36762338876724243
num__inflation_index_lag4,0.35877400636672974
num__yoy_change_perc_lag8,0.3564980626106262
num__real_gdp_index_std4,0.32754600048065186
num__core_inflation_index_qoq,0.3245624005794525
num__ppi_mom_growth_std4,0.317634254693985
num__yoy_change_perc_lag3,0.31048354506492615
num__ppi_yoy_growth_qoq,0.3068227469921112
num__sin_q_lag8,0.3064817488193512
num__cos_q_lag3,0.2981140911579132
num__ppi_index_qoq,0.2955331802368164
num__inflation_index_lag8,0.2916356325149536
num__nominal_gdp_index_lag3,0.27123749256134033
num__deflators_of_gross_domestic_product_by_final_use_categories_lag8,0.27055495977401733
num__core_inflation_index_lag3,0.2640247941017151
num__ppi_index_lag3,0.25988709926605225
num__yoy_change_perc_qoq,0.2414027899503708
num__total_gdp_deflator_lag6,0.2372714728116989
num__real_gdp_index_sa_std4,0.2314358502626419
num__core_inflation_index_lag4,0.21997153759002686
num__unemployment_rate_lag3,0.21864812076091766
num__core_inflation_index_lag8,0.218088299036026
num__ppi_yoy_growth_lag4,0.21574202179908752
num__cos_q_lag1,0.21384678781032562
num__ppi_yoy_growth_std8,0.20850695669651031
num__ppi_mom_growth_std8,0.18731670081615448
num__ppi_mom_growth_lag1,0.17632250487804413
num__cos_q_lag8,0.17602021992206573
num__ppi_mom_growth_lag8,0.1705315262079239
num__ppi_index_lag1,0.16888345777988434
num__real_gdp_index_sa_std12,0.16140227019786835
num__yoy_change_perc,0.15469510853290558
num__industrial_production_index_lag2,0.15411116182804108
num__inflation_index,0.1524456888437271
num__core_inflation_index_std4,0.14076541364192963
num__yoy_change_perc_lag6,0.13926328718662262
num__unemployment_rate_lag6,0.1341622918844223
num__ppi_mom_growth_lag6,0.13100376725196838
num__ppi_index_mean4,0.1273348331451416
num__cos_q_lag6,0.12576019763946533
num__total_gdp_deflator,0.12515664100646973
num__ppi_index_yoy,0.12267623841762543
num__deflators_of_gross_domestic_product_by_final_use_categories_lag2,0.12253613024950027
num__ppi_index_lag8,0.11749774217605591
num__real_gdp_index_sa_yoy,0.11377249658107758
num__unemployment_rate_std12,0.11344235390424728
num__quarter_lag3,0.11312954127788544
num__ppi_index_lag6,0.1127186045050621
num__core_inflation_index_yoy,0.11195465922355652
num__core_inflation_index_mean4,0.10980795323848724
num__avg_annual_unemployment_rate,0.10710683465003967
num__nominal_gdp_index,0.10563454031944275
num__inflation_index_lag6,0.10468138754367828
num__yoy_change_perc_std8,0.10366625338792801
num__unemployment_rate_yoy,0.10000360012054443
num__year_mean8,0.0
num__real_gdp_index_sa_mean8,0.0
num__sin_q_mean8,0.0
num__src_quarter_mean8,0.0
num__avg_annual_unemployment_rate_lag1,0.0
