quarter_period,cpi_index,inflation_index,core_inflation_index,        Deflators of gross domestic product by final use categories,avg_wage_uah,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,year_month,inflation_index_seasonally_adjusted
2011-03-31,171.33333333333334,101.0,100.59999999999998,98.66666666666667,2481.3333333333335,98.66666666666667,101.73333333333333,-0.017989379647697503,-0.005309664043911133,,100.21
2011-06-30,172.73333333333335,99.56666666666666,100.63333333333333,101.73333333333333,2717.0,101.73333333333333,100.60000000000001,0.0023270262076232335,0.0033435673010163997,,100.21
2011-09-30,171.73333333333335,100.06666666666666,100.56666666666666,101.46666666666665,2731.0,101.46666666666665,99.0,-0.009687069696005733,-0.0195825704162786,,100.21
2011-12-31,172.2,100.2,100.2,99.6,3054.0,99.6,99.2,0.010183299389002,-0.0207305034550838,,100.21
2012-03-31,173.23333333333335,100.16666666666667,100.06666666666666,104.23333333333333,2888.0,102.46666666666665,101.66666666666667,-0.0016859677178260337,-0.010094926065040767,,99.96363636363635
2012-06-30,172.4333333333333,99.73333333333333,100.06666666666666,100.13333333333333,3091.6666666666665,101.39999999999999,99.43333333333334,0.0014185720713351991,-0.009326660072928733,,99.96363636363635
2012-09-30,171.63333333333333,99.93333333333334,100.06666666666666,103.56666666666666,3082.3333333333335,101.63333333333333,99.56666666666666,-0.0015742386983993,-0.0042635492733100995,,99.96363636363635
2012-12-31,171.65,100.05000000000001,100.1,100.25,3237.5,96.85,99.4,0.0016370558375634007,0.007071849747059799,,99.96363636363635
2013-03-31,108.43333333333334,100.03333333333335,99.93333333333334,99.76666666666667,3085.3333333333335,99.76666666666667,101.03333333333335,0.007536712144655734,-0.0081670163809065,,100.04166666666669
2013-06-30,108.46666666666665,100.03333333333335,99.96666666666665,98.16666666666667,3288.6666666666665,98.16666666666667,99.16666666666667,-0.017485967332481832,-0.0016071795502011672,,100.04166666666669
2013-09-30,107.86666666666667,99.73333333333333,100.03333333333335,100.73333333333333,3331.3333333333335,100.73333333333333,100.53333333333335,0.010781029296231035,0.008074685792694733,,100.04166666666669
2013-12-31,108.39999999999999,100.36666666666667,100.09999999999998,101.63333333333333,3390.0,101.63333333333333,99.96666666666665,0.0011024224399118663,0.003776347775624,,100.04166666666669
2014-03-31,112.56666666666666,102.03333333333335,101.56666666666666,102.46666666666665,3339.6666666666665,102.46666666666665,104.36666666666667,0.015410425981979997,0.01721783479420363,,101.96666666666668
