date,quarter_period,total_gdp_deflator,real_gdp_index,nominal_gdp_index,unemployment_rate,avg_annual_unemployment_rate,yoy_change_perc,real_gdp_index_sa,src_quarter,cpi_index,inflation_index,core_inflation_index,        Deflators of gross domestic product by final use categories,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,inflation_index_seasonally_adjusted,_merge
2011-01-01,2011Q1,112.9,100.0,112.9,8.6,9.7,-11.34020619,98.7434375,1,171.33333333333334,101.0,100.59999999999998,98.66666666666667,98.66666666666667,101.73333333333333,-0.017989379647697503,-0.005309664043911133,100.21,both
2011-04-01,2011Q2,116.3,101.0,117.46,8.6,9.7,-2.272727273,102.98290178571429,1,172.73333333333335,99.56666666666666,100.63333333333333,101.73333333333333,101.73333333333333,100.60000000000001,0.0023270262076232335,0.0033435673010163997,100.21,both
2011-07-01,2011Q3,114.9,102.01,117.21,11.4,9.7,14.0,101.20799107142857,1,171.73333333333335,100.06666666666666,100.56666666666666,101.46666666666665,101.46666666666665,99.0,-0.009687069696005733,-0.0195825704162786,100.21,both
2011-10-01,2011Q4,112.7,103.03,116.11,10.2,9.7,-9.734513274,103.10566964285714,1,172.2,100.2,100.2,99.6,99.6,99.2,0.010183299389002,-0.0207305034550838,100.21,both
2012-01-01,2012Q1,110.4,104.06,114.88,8.3,8.675,-3.488372093,102.8034375,1,173.23333333333335,100.16666666666667,100.06666666666666,104.23333333333333,102.46666666666665,101.66666666666667,-0.0016859677178260337,-0.010094926065040767,99.96363636363635,both
2012-04-01,2012Q2,108.2,105.1,113.72,9.8,8.675,13.95348837,107.08290178571428,1,172.4333333333333,99.73333333333333,100.06666666666666,100.13333333333333,101.39999999999999,99.43333333333334,0.0014185720713351991,-0.0139899901093931,99.96363636363635,both
2012-07-01,2012Q3,106.4,106.15,112.95,8.3,8.675,-27.19298246,105.34799107142857,1,171.63333333333333,99.93333333333334,100.06666666666666,103.56666666666666,101.63333333333333,99.56666666666666,-0.0015742386983993,-0.0042635492733100995,99.96363636363635,both
2012-10-01,2012Q4,107.2,107.21,114.93,8.3,8.675,-18.62745098,107.28566964285713,1,171.65,100.05000000000001,100.1,100.25,96.85,99.4,0.0016370558375634007,0.007071849747059799,99.96363636363635,both
2013-01-01,2013Q1,105.3,108.29,114.02,9.4,7.525,13.25301205,107.0334375,1,108.43333333333334,100.03333333333335,99.93333333333334,99.76666666666667,99.76666666666667,101.03333333333335,0.007536712144655734,-0.0081670163809065,100.04166666666669,both
2013-04-01,2013Q2,103.8,109.37,113.52,6.1,7.525,-37.75510204,111.3529017857143,1,108.46666666666665,100.03333333333335,99.96666666666665,98.16666666666667,98.16666666666667,99.16666666666667,-0.017485967332481832,-0.0013277170858895671,100.04166666666669,both
2013-07-01,2013Q3,104.0,110.46,114.88,6.4,7.525,-22.89156627,109.65799107142855,1,107.86666666666667,99.73333333333333,100.03333333333335,100.73333333333333,100.73333333333333,100.53333333333335,0.010619720980132733,0.0082044855906745,100.04166666666669,both
2013-10-01,2013Q4,104.3,111.57,116.36,8.2,7.525,-1.204819277,111.64566964285713,1,108.39999999999999,100.36666666666667,100.09999999999998,101.63333333333333,101.63333333333333,99.96666666666665,0.0011024224399118663,0.003776347775624,100.04166666666669,both
2014-01-01,2014Q1,105.3,112.68,118.65,7.5,7.875,-20.21276596,111.4234375,1,112.56666666666666,102.03333333333335,101.56666666666666,102.46666666666665,102.46666666666665,104.36666666666667,0.015410425981979997,0.01721783479420363,101.96666666666668,both
2014-04-01,2014Q2,112.6,113.81,128.15,9.5,7.875,55.73770492,115.79290178571429,1,123.37666666666667,101.43333333333334,101.63333333333333,100.56666666666666,100.56666666666666,101.53333333333335,-0.013311468673909366,0.0208414862471277,101.96666666666668,both
2014-07-01,2014Q3,116.8,114.95,134.26,7.6,7.875,18.75,114.14799107142856,1,132.57666666666668,102.43333333333334,102.60000000000001,101.2,101.2,102.16666666666667,0.010679438732677035,0.0222278415240162,101.96666666666668,both
2015-01-01,2015Q1,138.9375,117.26,165.57,11.2,8.975,49.33333333,116.0034375,1,180.23333333333335,109.0,105.76666666666667,102.46666666666665,102.46666666666665,101.39999999999999,-0.030363687025628968,-0.03127083254416587,102.93,both
2015-04-01,2015Q2,138.9375,118.43,165.45,8.7,8.975,-8.421052632,120.4129017857143,1,189.63333333333333,99.53333333333335,100.16666666666667,100.39999999999999,100.39999999999999,101.23333333333333,0.0048122296696871325,-0.012995775351253602,102.93,both
2015-07-01,2015Q3,138.4,119.61,165.55,9.1,8.975,19.73684211,118.80799107142856,1,191.9,101.0,101.5,103.73333333333333,103.73333333333333,99.33333333333333,-0.0051748329351994325,-0.017822415900426533,102.93,both
2015-10-01,2015Q4,135.0,120.81,163.09,6.9,8.975,5.842390283,120.88566964285714,1,194.9,100.7,100.4,101.2,101.2,98.9,-0.0139581256231304,-0.0332355816226783,102.93,both
2016-01-01,2016Q1,120.7,122.02,147.28,8.2,8.575,-26.78571429,120.7634375,1,199.53333333333333,101.36666666666667,100.96666666666665,103.86666666666667,103.86666666666667,104.3,0.012397884811677933,-0.001813589198422667,100.91000000000001,both
2016-04-01,2016Q2,115.2,123.24,141.97,9.2,8.575,5.747126437,125.22290178571428,1,204.66666666666666,99.93333333333334,99.89999999999999,100.39999999999999,100.39999999999999,101.5,-0.015547355756900865,0.007199950010506567,100.91000000000001,both
2016-07-01,2016Q3,115.4,124.47,143.64,7.3,8.575,-19.78021978,123.66799107142856,1,211.36666666666667,101.43333333333334,100.36666666666667,101.89999999999999,101.89999999999999,102.66666666666667,0.0011254334370727672,0.018591544713179798,100.91000000000001,both
2016-10-01,2016Q4,117.5,125.72,147.72,9.6,8.575,39.13043478,125.79566964285713,1,219.0,100.9,100.0,101.9,101.9,99.7,-0.0339147286821704,0.0080889787664306,100.91,both
2017-01-01,2017Q1,126.8,126.97,161.0,8.1,9.15,-1.219512195,125.7134375,1,227.0,101.23333333333333,101.0,99.93333333333334,99.93333333333334,101.26666666666667,-0.014340355530102968,-0.028930258096924667,101.07272727272726,both
2017-04-01,2017Q2,121.0,128.24,155.17,8.6,9.15,-6.52173913,130.2229017857143,1,235.33333333333334,101.03333333333335,100.2,101.26666666666667,101.26666666666667,100.53333333333335,0.0058282040003914334,-0.009324437095766866,101.07272727272726,both
2017-07-01,2017Q3,121.3,129.53,157.11,8.1,9.15,10.95890411,128.72799107142856,1,240.79999999999998,101.03333333333335,101.10000000000001,104.13333333333333,104.13333333333333,101.89999999999999,0.0046514564939468,-0.014357415908230933,101.07272727272726,both
2017-10-01,2017Q4,120.7,130.82,157.9,11.8,9.15,22.91666667,130.89566964285714,1,247.75,100.95,100.9,100.65,100.65,103.05000000000001,0.01278317714762595,0.01630327027594415,101.07272727272726,both
2018-01-01,2018Q1,115.1,132.13,152.08,9.0,8.45,11.11111111,130.8734375,1,257.53333333333336,100.93333333333334,100.86666666666667,99.7,99.7,100.36666666666667,-0.0012947691838844338,-0.0084631033825058,100.71818181818183,both
2018-04-01,2018Q2,117.2,133.45,156.4,7.4,8.45,-13.95348837,135.43290178571428,1,259.2,99.76666666666667,100.03333333333335,101.56666666666666,101.56666666666666,101.33333333333333,0.0016563443293623331,0.0080340408594067,100.71818181818183,both
2018-07-01,2018Q3,116.2,134.78,156.62,10.2,8.45,25.92592593,133.97799107142856,1,262.76666666666665,101.2,101.10000000000001,103.73333333333333,103.73333333333333,101.06666666666666,0.0013592260531750996,-0.008156556092040865,100.71818181818183,both
2018-10-01,2018Q4,113.5,136.13,154.51,7.2,8.45,-38.98305085,136.20566964285715,1,272.20000000000005,101.1,100.85,98.1,98.1,100.3,-0.003296371326012051,-0.026608008680025753,100.71818181818183,both
2019-01-01,2019Q1,112.7,137.49,154.96,9.3,7.925,3.333333333,136.2334375,1,280.0,100.8,100.60000000000001,102.76666666666667,102.76666666666667,99.86666666666667,0.0038985793672429345,-0.0050214304177415,100.41111111111111,both
2019-04-01,2019Q2,109.8,138.87,152.48,6.1,7.925,-17.56756757,140.8529017857143,1,282.3333333333333,99.93333333333334,100.0,100.56666666666666,100.56666666666666,98.36666666666667,-0.032191639628072664,-0.028003242164475705,100.41111111111111,both
2019-07-01,2019Q3,107.7,140.26,151.06,7.0,7.925,-31.37254902,139.45799107142855,1,284.1333333333333,100.5,100.66666666666667,100.89999999999999,100.89999999999999,97.39999999999999,-0.007119501737634233,-0.03109933486710173,100.41111111111111,both
2020-01-01,2020Q1,105.6,143.08,151.09,10.1,9.175,8.602150538,141.8234375,1,285.1666666666667,99.89999999999999,99.8,96.76666666666667,96.76666666666667,101.46666666666665,0.018948797045143535,0.011407807447411369,100.2727272727273,both
2020-04-01,2020Q2,106.0,144.51,153.18,9.3,9.175,52.45901639,146.49290178571428,1,289.06666666666666,100.43333333333334,100.46666666666665,104.2,104.2,99.5,-0.0020980405776411665,-0.0024833771537931004,100.2727272727273,both
2020-07-01,2020Q3,109.1,145.95,159.23,8.8,9.175,25.71428571,145.14799107142855,1,289.7,99.89999999999999,100.36666666666667,101.63333333333333,101.63333333333333,102.60000000000001,0.011236055900390266,0.0377686924855335,100.2727272727273,both
2020-10-01,2020Q4,117.8,147.41,173.65,8.5,9.175,-8.602150538,147.48566964285715,1,297.25,101.15,100.75,103.44999999999999,103.44999999999999,101.9,-0.0096509123880765,0.05378149463147525,100.27272727272728,both
